Region,Balanced_Credit_Amount,Location,Age,Size,Promotion,Holidays,Order_Quantity
South,18,Rural,17,25,0,1,4250
East,6,Urban,11,25,0,1,2750
East,36,Urban,13,25,0,1,3250
South,24,Urban,8,25,0,1,0
West,18,Urban,25,25,0,1,0
West,24,Urban,22,25,0,1,5500
East,12,Rural,5,25,0,2,1250
West,24,Semi-Urban,19,25,0,2,4750
South,24,Urban,8,26,0,1,0
East,6,Urban,19,26,0,1,4940
South,12,Semi-Urban,5,26,0,1,1300
South,18,Rural,2,26,0,1,520
North,12,Urban,19,26,0,1,4940
East,6,Semi-Urban,11,26,0,1,0
West,12,Semi-Urban,14,26,0,1,3640
South,8,Urban,15,26,0,1,3900
West,24,Rural,18,26,0,2,4680
West,20,Semi-Urban,20,26,0,2,5200
East,42,Urban,8,27,0,1,2160
West,36,Urban,2,27,0,1,540
East,14,Urban,25,27,0,1,0
West,10,Urban,14,27,0,1,3780
West,39,Urban,13,27,0,1,3510
South,7,Urban,11,27,0,1,2970
East,24,Urban,18,27,0,1,0
East,28,Urban,15,27,0,1,0
West,12,Urban,3,27,0,1,810
West,36,Rural,1,27,0,2,270
North,12,Urban,20,28,0,1,5600
West,10,Urban,8,28,0,1,2240
West,21,Urban,16,28,0,1,4480
East,48,Urban,18,28,0,1,0
East,15,Urban,13,28,0,1,3640
West,24,Semi-Urban,16,28,0,2,4480
West,15,Rural,23,28,0,2,6440
West,15,Semi-Urban,3,28,0,2,840
North,6,Semi-Urban,13,28,0,2,3640
West,24,Semi-Urban,23,28,0,2,6440
South,36,Urban,22,29,0,1,0
West,48,Semi-Urban,9,29,0,1,2610
South,6,Rural,6,29,0,1,0
East,18,Urban,19,29,0,1,0
North,30,Semi-Urban,12,29,0,1,3480
North,24,Urban,5,29,0,1,1450
East,36,Urban,14,29,0,1,0
South,21,Rural,23,29,0,2,6670
East,8,Semi-Urban,19,29,0,2,5510
West,24,Rural,2,29,0,2,0
South,24,Urban,10,30,0,1,3000
North,10,Urban,6,30,0,1,0
West,24,Urban,7,30,0,1,2100
South,24,Semi-Urban,10,30,0,2,3000
West,12,Semi-Urban,6,31,0,1,1860
East,12,Urban,11,31,0,1,3410
West,12,Semi-Urban,16,31,0,1,4960
West,12,Semi-Urban,25,31,0,1,7750
North,9,Urban,11,31,0,1,3410
West,12,Urban,17,31,0,1,5270
South,30,Semi-Urban,25,31,0,1,0
West,24,Semi-Urban,20,32,0,1,6400
West,12,Urban,18,32,0,1,5760
South,36,Urban,5,32,0,1,0
East,48,Urban,24,32,0,1,7680
North,6,Semi-Urban,16,32,0,1,5120
West,6,Urban,13,32,0,1,4160
South,48,Rural,10,32,0,1,0
West,12,Urban,6,32,0,1,1920
South,11,Rural,12,33,0,1,3960
West,36,Semi-Urban,25,33,0,1,8250
West,9,Urban,20,33,0,1,6600
West,6,Urban,11,33,0,1,3630
North,24,Urban,13,33,0,1,4290
East,18,Urban,16,33,0,1,0
South,12,Urban,3,34,0,1,0
East,10,Urban,13,34,0,1,4420
West,12,Urban,8,34,0,1,2720
West,12,Urban,15,34,0,1,5100
West,24,Urban,1,35,0,1,350
East,12,Urban,13,35,0,1,0
East,12,Urban,5,35,0,1,0
East,12,Semi-Urban,14,36,0,1,5040
South,12,Urban,24,36,0,1,8640
West,6,Urban,11,36,0,1,3960
West,24,Urban,14,36,0,1,5040
East,48,Urban,16,36,0,1,0
South,36,Rural,6,36,0,1,2160
West,24,Semi-Urban,10,36,0,2,3600
West,12,Urban,21,37,0,1,7770
East,24,Urban,11,37,0,1,4070
East,12,Urban,22,37,0,1,8140
North,12,Urban,22,37,0,1,8140
West,12,Semi-Urban,16,38,0,1,6080
North,42,Semi-Urban,22,38,0,1,8360
West,6,Urban,2,38,0,1,760
West,12,Semi-Urban,21,39,0,1,8190
South,36,Urban,16,39,0,1,0
North,24,Urban,8,39,0,1,3120
East,24,Semi-Urban,24,39,0,2,9360
East,24,Urban,13,40,0,1,5200
South,54,Urban,17,40,0,1,0
West,30,Urban,8,40,0,1,3200
South,48,Rural,9,41,0,1,0
West,15,Semi-Urban,5,41,0,1,2050
East,9,Urban,22,41,0,1,9020
West,24,Semi-Urban,10,42,0,1,4200
South,20,Urban,18,42,0,1,7560
West,12,Urban,25,43,0,1,10750
South,36,Urban,11,43,0,1,0
West,12,Semi-Urban,23,43,0,1,9890
South,18,Urban,18,43,0,1,7740
West,24,Urban,10,44,0,1,4400
West,6,Urban,3,44,0,1,1320
West,15,Semi-Urban,18,45,0,1,8100
East,24,Semi-Urban,8,45,0,2,3600
West,10,Urban,19,46,0,1,8740
West,9,Urban,14,46,0,1,6440
South,6,Urban,12,46,0,1,5520
West,13,Urban,12,46,0,1,5520
West,18,Semi-Urban,12,47,0,2,5640
West,12,Semi-Urban,2,47,0,4,940
South,12,Urban,17,48,0,1,0
North,30,Rural,1,48,0,1,0
South,9,Urban,6,48,0,1,2880
South,18,Urban,17,49,0,1,8330
West,18,Urban,3,50,0,2,0
West,5,Urban,6,56,0,1,3360
West,24,Semi-Urban,24,56,0,1,13440
East,6,Urban,10,57,0,1,5700
South,12,Urban,4,1,1,1,400
West,9,Urban,8,1,1,2,600
South,11,Urban,15,2,1,1,300
West,12,Urban,2,2,1,1,40
South,24,Urban,15,2,1,1,300
West,15,Urban,24,2,1,1,480
West,9,Urban,19,2,1,1,380
East,12,Urban,13,2,1,1,260
West,15,Urban,8,2,1,1,160
East,18,Urban,8,2,1,1,10000
North,24,Semi-Urban,22,2,1,2,440
South,12,Rural,8,2,1,2,160
West,60,Urban,12,3,1,1,360
West,6,Urban,10,3,1,1,300
West,18,Urban,23,3,1,1,690
South,18,Urban,16,3,1,1,480
East,12,Urban,4,3,1,1,120
East,18,Semi-Urban,17,3,1,1,510
West,12,Urban,3,3,1,1,90
East,24,Urban,19,3,1,1,570
West,60,Rural,21,3,1,2,630
South,12,Urban,9,4,1,1,360
South,12,Urban,15,4,1,1,600
South,30,Urban,22,4,1,1,880
West,9,Urban,2,4,1,1,80
South,6,Urban,17,4,1,1,680
South,15,Urban,5,4,1,1,200
East,24,Urban,11,4,1,1,440
South,12,Urban,11,4,1,1,10000
East,24,Rural,4,4,1,1,160
East,24,Rural,25,4,1,1,1000
East,24,Rural,11,4,1,1,440
West,12,Semi-Urban,17,4,1,2,680
North,18,Urban,19,5,1,1,950
North,15,Urban,23,5,1,1,1150
West,21,Semi-Urban,7,5,1,1,350
West,15,Urban,17,5,1,1,850
South,13,Urban,12,5,1,1,600
North,10,Urban,16,5,1,1,800
South,15,Urban,25,5,1,1,1250
North,12,Urban,21,5,1,1,1050
East,15,Urban,21,5,1,1,1050
South,12,Urban,22,5,1,1,1100
West,4,Urban,12,5,1,1,600
East,12,Urban,14,5,1,1,700
South,24,Urban,15,5,1,1,10000
South,10,Rural,20,5,1,1,1000
South,12,Urban,17,5,1,1,10000
East,12,Urban,9,5,1,1,450
East,18,Urban,24,5,1,2,1200
East,36,Semi-Urban,21,5,1,2,10000
East,33,Semi-Urban,2,5,1,2,10000
West,15,Semi-Urban,18,5,1,2,900
East,24,Urban,1,5,1,2,10000
South,13,Semi-Urban,24,5,1,2,1200
West,10,Semi-Urban,24,5,1,2,1200
East,18,Rural,10,5,1,2,500
West,36,Semi-Urban,22,5,1,2,10000
West,12,Semi-Urban,4,5,1,2,200
South,24,Rural,9,5,1,2,450
East,24,Urban,23,5,1,2,10000
South,24,Urban,11,5,1,2,10000
South,9,Urban,8,6,1,1,480
West,18,Urban,16,6,1,1,960
South,36,Urban,21,6,1,1,1260
West,6,Rural,24,6,1,1,1440
West,12,Urban,5,6,1,1,300
South,48,Urban,2,6,1,1,120
North,36,Urban,14,6,1,1,840
East,12,Urban,14,6,1,1,840
East,12,Urban,24,6,1,1,1440
East,24,Urban,24,6,1,1,1440
North,12,Urban,2,6,1,1,120
South,12,Urban,1,6,1,1,60
West,15,Urban,3,6,1,1,180
East,21,Urban,9,6,1,1,540
South,30,Urban,6,6,1,1,10000
West,30,Urban,24,6,1,1,1440
East,12,Rural,5,6,1,1,10000
East,24,Rural,18,6,1,1,10000
South,6,Rural,10,6,1,1,10000
East,20,Semi-Urban,7,6,1,2,420
West,6,Semi-Urban,10,6,1,2,600
East,30,Semi-Urban,13,6,1,2,780
East,48,Urban,11,6,1,2,10000
West,48,Semi-Urban,15,6,1,2,10000
South,24,Semi-Urban,3,6,1,2,180
West,15,Semi-Urban,21,6,1,2,1260
West,18,Semi-Urban,15,6,1,2,900
East,18,Semi-Urban,2,6,1,2,10000
West,12,Urban,14,7,1,1,980
West,36,Urban,20,7,1,1,1400
West,24,Urban,22,7,1,1,1540
South,18,Urban,4,7,1,1,280
West,24,Urban,25,7,1,1,1750
South,18,Urban,17,7,1,1,1190
West,22,Urban,4,7,1,1,280
East,9,Urban,15,7,1,1,1050
South,15,Urban,10,7,1,1,700
South,9,Urban,22,7,1,1,1540
West,24,Urban,18,7,1,1,1260
South,12,Urban,4,7,1,1,10000
South,12,Urban,5,7,1,1,10000
North,24,Urban,3,7,1,1,210
South,24,Semi-Urban,24,7,1,1,10000
West,10,Urban,18,7,1,1,10000
South,45,Semi-Urban,14,7,1,2,10000
West,36,Semi-Urban,18,7,1,2,10000
East,21,Urban,7,7,1,2,10000
West,24,Urban,5,7,1,2,350
West,18,Semi-Urban,24,7,1,2,1680
West,24,Urban,5,7,1,2,350
East,15,Semi-Urban,22,7,1,2,1540
South,12,Urban,7,7,1,2,10000
East,9,Semi-Urban,3,7,1,2,210
East,18,Urban,15,7,1,2,10000
West,30,Semi-Urban,13,7,1,2,910
East,36,Semi-Urban,4,7,1,2,10000
South,39,Semi-Urban,18,7,1,2,10000
East,30,Urban,15,7,1,3,1050
West,24,Urban,7,8,1,1,560
West,12,Urban,19,8,1,1,1520
West,12,Urban,1,8,1,1,80
South,12,Semi-Urban,19,8,1,1,1520
North,24,Urban,23,8,1,1,1840
East,48,Urban,23,8,1,1,1840
West,12,Urban,19,8,1,1,1520
North,24,Urban,25,8,1,1,2000
East,21,Urban,7,8,1,1,560
North,12,Urban,11,8,1,1,880
West,24,Urban,22,8,1,1,1760
South,24,Urban,13,8,1,1,1040
West,6,Urban,9,8,1,1,720
North,15,Urban,10,8,1,1,800
South,18,Urban,11,8,1,1,880
West,24,Urban,1,8,1,1,80
West,24,Urban,1,8,1,1,80
West,9,Urban,24,8,1,1,1920
West,30,Semi-Urban,7,8,1,1,560
West,18,Urban,13,8,1,1,1040
West,21,Urban,21,8,1,1,1680
East,24,Urban,5,8,1,1,400
South,30,Urban,9,8,1,1,720
South,8,Urban,23,8,1,1,1840
South,6,Urban,3,8,1,1,240
West,6,Rural,21,8,1,1,1680
South,12,Urban,14,8,1,1,1120
East,18,Urban,21,8,1,1,10000
West,10,Semi-Urban,8,8,1,2,640
East,21,Rural,15,8,1,2,10000
West,27,Rural,18,8,1,2,1440
West,18,Semi-Urban,11,8,1,2,880
West,36,Rural,5,8,1,2,10000
West,30,Rural,23,8,1,2,1840
West,33,Rural,18,8,1,2,1440
West,12,Semi-Urban,16,8,1,2,1280
East,42,Rural,14,8,1,2,10000
South,30,Urban,1,8,1,2,10000
East,27,Urban,18,9,1,1,1620
East,12,Urban,12,9,1,1,1080
South,60,Rural,22,9,1,1,1980
East,12,Urban,8,9,1,1,720
East,15,Urban,18,9,1,1,1620
East,6,Urban,18,9,1,1,1620
South,12,Semi-Urban,13,9,1,1,1170
South,12,Urban,8,9,1,1,720
South,60,Rural,14,9,1,1,1260
South,36,Urban,20,9,1,1,1800
South,45,Semi-Urban,15,9,1,1,1350
East,24,Urban,17,9,1,1,1530
South,9,Urban,5,9,1,1,450
South,15,Semi-Urban,13,9,1,1,1170
East,24,Rural,25,9,1,1,10000
West,48,Rural,19,9,1,1,1710
East,40,Semi-Urban,20,9,1,1,10000
East,18,Urban,25,9,1,1,2250
West,12,Urban,14,9,1,2,1260
West,24,Semi-Urban,17,9,1,2,1530
South,18,Semi-Urban,20,9,1,2,1800
East,10,Semi-Urban,8,9,1,2,720
West,15,Urban,15,9,1,2,1350
West,27,Rural,1,9,1,2,90
West,36,Urban,15,9,1,2,1350
South,48,Urban,18,9,1,2,10000
West,12,Semi-Urban,11,9,1,2,990
East,15,Rural,6,9,1,2,540
West,18,Semi-Urban,10,9,1,2,900
West,9,Urban,17,9,1,2,1530
West,24,Rural,25,9,1,2,10000
West,14,Rural,17,9,1,2,1530
West,6,Semi-Urban,14,9,1,2,1260
South,9,Urban,9,9,1,2,810
South,36,Semi-Urban,20,9,1,2,10000
West,24,Urban,1,9,1,2,90
South,21,Semi-Urban,18,9,1,2,1620
West,36,Rural,23,9,1,2,10000
West,24,Semi-Urban,15,9,1,2,1350
West,24,Semi-Urban,23,9,1,2,2070
North,10,Semi-Urban,8,9,1,2,720
West,24,Semi-Urban,7,9,1,2,630
West,6,Semi-Urban,24,9,1,2,2160
South,12,Urban,12,9,1,4,10000
East,15,Urban,22,10,1,1,2200
West,12,Urban,12,10,1,1,1200
South,18,Urban,7,10,1,1,700
East,18,Urban,9,10,1,1,900
South,6,Urban,8,10,1,1,800
East,24,Urban,18,10,1,1,1800
West,12,Urban,5,10,1,1,500
West,24,Urban,13,10,1,1,1300
East,24,Urban,4,10,1,1,400
West,24,Urban,19,10,1,1,1900
West,24,Urban,16,10,1,1,1600
West,24,Urban,21,10,1,1,2100
West,36,Urban,4,10,1,1,400
West,15,Semi-Urban,23,10,1,1,2300
West,11,Urban,20,10,1,1,2000
North,21,Urban,8,10,1,1,800
South,6,Urban,12,10,1,1,1200
West,18,Semi-Urban,21,10,1,2,2100
South,30,Semi-Urban,4,10,1,2,10000
East,12,Urban,3,10,1,2,10000
East,36,Semi-Urban,20,10,1,2,2000
West,36,Rural,13,10,1,2,10000
West,6,Semi-Urban,1,10,1,2,100
South,48,Urban,14,10,1,2,10000
South,30,Semi-Urban,6,10,1,2,10000
East,12,Urban,3,10,1,2,10000
South,18,Semi-Urban,4,10,1,2,400
North,6,Semi-Urban,12,10,1,2,1200
South,15,Urban,8,10,1,2,10000
South,18,Urban,14,10,1,2,10000
South,30,Urban,18,10,1,2,1800
East,13,Semi-Urban,22,10,1,2,2200
West,21,Rural,7,10,1,2,700
North,12,Semi-Urban,10,10,1,3,10000
South,12,Semi-Urban,18,10,1,3,1800
South,24,Semi-Urban,5,11,1,1,550
West,6,Urban,3,11,1,1,330
West,24,Urban,13,11,1,1,1430
North,4,Urban,17,11,1,1,1870
West,6,Urban,16,11,1,1,1760
West,24,Urban,5,11,1,1,550
South,24,Urban,7,11,1,1,770
East,24,Urban,1,11,1,1,110
East,12,Urban,23,11,1,1,2530
East,12,Urban,1,11,1,1,110
West,42,Urban,24,11,1,1,2640
West,15,Urban,23,11,1,1,2530
South,24,Rural,8,11,1,1,880
West,12,Urban,11,11,1,1,1210
East,36,Rural,7,11,1,1,10000
East,24,Urban,25,11,1,1,10000
North,6,Rural,1,11,1,1,110
East,21,Urban,19,11,1,1,2090
South,36,Rural,15,11,1,1,1650
West,18,Semi-Urban,25,11,1,2,2750
West,12,Semi-Urban,7,11,1,2,770
East,12,Semi-Urban,9,11,1,2,10000
West,28,Semi-Urban,20,11,1,2,2200
South,24,Urban,13,11,1,2,0
South,20,Rural,25,11,1,2,2750
West,21,Urban,11,11,1,2,0
South,12,Urban,13,11,1,2,1430
South,36,Urban,23,12,1,1,2760
South,48,Rural,5,12,1,1,600
West,15,Urban,10,12,1,1,1200
South,12,Urban,18,12,1,1,2160
East,12,Urban,25,12,1,1,3000
South,36,Rural,24,12,1,1,2880
East,36,Urban,13,12,1,1,1560
South,6,Urban,16,12,1,1,1920
South,24,Urban,12,12,1,1,1440
West,30,Urban,21,12,1,1,2520
West,36,Urban,6,12,1,1,720
East,24,Urban,15,12,1,1,0
East,21,Semi-Urban,12,12,1,2,1440
South,48,Urban,2,12,1,2,240
West,6,Semi-Urban,10,12,1,2,1200
West,9,Semi-Urban,20,12,1,2,2400
West,24,Semi-Urban,22,12,1,2,2640
South,18,Urban,20,12,1,2,2400
South,27,Rural,20,12,1,2,2400
East,12,Semi-Urban,13,12,1,2,1560
West,18,Semi-Urban,8,12,1,2,960
South,36,Rural,1,12,1,2,0
West,12,Urban,16,12,1,2,1920
West,18,Semi-Urban,4,12,1,2,0
West,15,Rural,19,12,1,2,2280
South,26,Urban,18,12,1,2,2160
South,18,Semi-Urban,5,12,1,2,0
East,39,Semi-Urban,18,12,1,2,2160
South,30,Rural,15,12,1,2,0
West,24,Urban,2,13,1,1,260
West,18,Urban,14,13,1,1,1820
South,48,Rural,13,13,1,1,1690
North,36,Urban,4,13,1,1,520
South,10,Urban,9,13,1,1,1170
East,6,Semi-Urban,10,13,1,1,1300
South,12,Urban,24,13,1,1,3120
West,12,Urban,16,13,1,1,2080
West,10,Urban,19,13,1,1,2470
West,48,Semi-Urban,5,13,1,1,650
East,18,Urban,21,13,1,1,2730
East,36,Rural,19,13,1,1,0
West,21,Urban,23,13,1,1,2990
West,36,Rural,8,13,1,1,1040
West,24,Urban,25,13,1,1,3250
West,36,Semi-Urban,24,13,1,2,3120
South,6,Rural,8,13,1,2,1040
South,24,Semi-Urban,19,13,1,2,0
West,12,Urban,18,13,1,2,2340
West,15,Semi-Urban,18,13,1,2,2340
South,18,Semi-Urban,1,13,1,2,0
West,18,Semi-Urban,9,13,1,2,0
West,36,Urban,15,13,1,2,1950
South,36,Rural,16,13,1,2,2080
North,24,Semi-Urban,4,13,1,2,520
South,20,Urban,16,13,1,2,2080
South,12,Urban,25,14,1,1,3500
West,18,Urban,2,14,1,1,280
West,9,Urban,2,14,1,1,280
South,39,Rural,1,14,1,1,140
West,18,Urban,3,14,1,1,420
South,18,Urban,18,14,1,1,2520
West,36,Urban,17,14,1,1,2380
West,24,Rural,12,14,1,1,1680
South,27,Urban,12,14,1,1,1680
West,18,Urban,5,14,1,1,700
West,24,Urban,19,14,1,1,2660
West,24,Urban,15,14,1,1,2100
South,6,Rural,7,14,1,1,0
East,24,Rural,8,14,1,1,1120
South,48,Urban,19,14,1,1,0
West,24,Rural,10,14,1,2,1400
West,10,Semi-Urban,2,14,1,2,280
South,21,Semi-Urban,7,14,1,2,980
West,12,Semi-Urban,10,14,1,2,1400
South,9,Semi-Urban,4,14,1,2,0
West,48,Rural,9,14,1,2,1260
South,36,Urban,25,14,1,2,3500
West,18,Semi-Urban,7,14,1,2,0
East,18,Semi-Urban,16,14,1,2,2240
East,30,Urban,22,14,1,2,3080
West,18,Semi-Urban,6,14,1,2,840
West,27,Semi-Urban,24,14,1,2,3360
West,24,Semi-Urban,21,15,1,1,3150
South,24,Rural,24,15,1,1,3600
West,15,Urban,8,15,1,1,1200
West,24,Urban,17,15,1,1,2550
West,30,Semi-Urban,22,15,1,1,3300
South,9,Urban,13,15,1,1,1950
North,12,Urban,5,15,1,1,750
West,12,Semi-Urban,16,15,1,1,0
South,18,Urban,24,15,1,1,3600
West,48,Urban,13,15,1,1,0
West,15,Urban,3,15,1,1,450
North,42,Urban,22,15,1,2,3300
East,15,Urban,15,15,1,2,0
South,18,Urban,4,15,1,2,600
West,9,Semi-Urban,5,15,1,2,750
